key,lat,lng
Bickleton|Bickleton Elementary and High,45.9990412,-120.2926792
Blaine|Blaine Elementary,48.992403,-122.7407
Blaine|Blaine High,48.9932,-122.7374
Blaine|Blaine Middle,48.9932,-122.7374
Blaine|Blaine Primary,48.991477,-122.74015
Blaine|Point Roberts Primary,48.9889,-123.0436
Boistfort|Boistfort Elementary,46.5501222,-123.1333095
Bremerton|Administration Buidling,47.56483929,-122.6623982
Bremerton|Armin Jahr Elementary,47.592739,-122.63549
Bremerton|Bremerton High,47.573402,-122.63912
Bremerton|Consolidated Facilities,47.564549,-122.683307
Bremerton|Crownhill Elementary,47.574754,-122.66492
Bremerton|Kitsap Lake Elementary,47.572282,-122.69285
Bremerton|Mountain View Middle,47.58243843,-122.6136088
Bremerton|Naval Avenue Elementary,47.569514,-122.64826
Bremerton|Renaissance Alternative High,47.564257,-122.66164
Bremerton|View Ridge Elementary,47.593423,-122.62719
Bremerton|West Hills S.T.E.M. Academy,47.557266,-122.66665
Bremerton|West Sound Technical Skills Center,47.564824,-122.6690086
Brewster|Brewster Bus Garage,48.096987,-119.786895
Brewster|Brewster Elementary,48.094413,-119.7838
Brewster|Brewster High,48.09406,-119.78793
Brewster|Brewster Junior High,48.094689,-119.786748
Brewster|Rental House,48.054207,-119.472353
Bridgeport|Bridgeport Elementary,48.006674,-119.67593
Bridgeport|Bridgeport High,48.006674,-119.67593
Bridgeport|Bridgeport Middle,48.006674,-119.67593
Brinnon|Brinnon Elementary,47.697418,-122.9030551
Burlington-Edison|Alger Bus Garage,48.478956,-122.337661
Burlington-Edison|Allen Elementary,48.5090508,-122.3739877
Burlington-Edison|Auxiliary Services,48.478956,-122.337661
Burlington-Edison|Bay View Elementary,48.4877539,-122.4175563
Burlington-Edison|Burlington-Edison High,48.478157,-122.3372031
Burlington-Edison|District Office,48.475714,-122.322303
Burlington-Edison|Edison Elementary,48.561555,-122.4385233
Burlington-Edison|Lucille Umbarger Elementary,48.4690594,-122.3181643
Burlington-Edison|West View Elementary,48.4769393,-122.3411836
Camas|Camas High,45.6119822,-122.3978214
Camas|Dorothy Fox Elementary,45.5986446,-122.4301399
Camas|Garfield Performing Arts Center,45.5905236,-122.4024994
Camas|Grass Valley Elementary,45.6109176,-122.4408969
Camas|Hayes Freedom High,45.5927459,-122.4011633
Camas|Helen Baller Elementary,45.594222,-122.4021749
Camas|Lacamas Heights Elementary,45.6128704,-122.4032525
Camas|Liberty Middle,45.5919007,-122.4029211
Camas|Prune Hill Elementary,45.5904495,-122.4558154
Camas|Skyridge Middle,45.6156412,-122.4476309
Camas|Transition House,45.5864691,-122.398994
Camas|Woodburn Elementary,45.6033388,-122.3858561
Cape Flattery|Clallam Bay High and Elementary,48.252156,-124.25883
Cape Flattery|Neah Bay Elementary,48.363886,-124.6216557
Cape Flattery|Neah Bay Junior/ Senior High,48.3632462,-124.6225325
Carbonado|Carbonado Historical School 19,47.081007,-122.05408
Cascade|Beaver Valley,47.7697472,-120.6651816
